1,-21600
2,-14400
3,-14400
4,-14400
5,10800
6,18000
7,7200
8,7200
9,7200
10,3600
11,3600
12,3600
13,3600
14,3600
15,3600
16,7200
17,3600
18,7200
19,3600
20,0
21,3600
22,3600
23,3600
24,3600
25,3600
26,-18000
27,-21600
28,-18000
29,-10800
30,-10800
31,-10800
32,-18000
33,16200
34,28800
35,36000
36,28800
37,28800
38,43200
39,28800
40,25200
41,32400
42,32400
44,25200
45,28800
46,7200
47,19800
48,18000
49,16200
50,19800
51,23400
52,13300
53,10800
54,0
55,3600
56,3600
57,3600
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,3600
66,0
67,3600
68,14400
69,0
70,0
71,0
72,3600
73,3600
74,3600
75,3600
76,-3600
77,0
78,3600
79,3600
80,3600
81,3600
82,3600
83,0
84,0
85,0
86,14400
87,10800
88,7200
89,3800
90,10800
91,10800
92,10800
93,10800
94,10800
95,7200
96,7200
97,7200
98,10800
99,14400
100,7200
101,3600
102,7200
103,7200
104,7200
105,7200
106,10800
107,0
108,10800
109,-14400
110,0
111,-10800
112,3600
113,0
114,3600
115,0
116,0
117,3600
118,3600
119,7200
120,3600
121,7200
122,7200
123,7200
124,7200
125,7200
126,14400
127,10800
128,3600
129,3600
130,3600
131,7200
132,3600
133,3600
134,3600
135,3600
136,3600
137,3600
138,3600
139,3600
140,3600
141,-10800
142,-21600
143,-21800
144,-21600
145,-21800
146,-21800
147,-21600
148,-18000
149,-10800
150,-18000
151,-14400
152,-14400
153,-14400
154,-18000
155,-10800
156,-14400
157,-14400
158,-10800
159,-10800
160,-14400
161,0
162,32400
163,-41400
164,28800
165,43200
166,36000
167,46800
168,39600
169,39600
170,43200
171,32400
172,43200
173,23400
174,-39600
175,46800
176,43200
177,39600
178,43200
179,-34200
180,46800
181,3600
182,43200
183,32400
184,28800
185,0
186,25200
187,25200
188,21600
189,28800
190,18000
191,7200
192,7200
193,7200
194,10800
195,10800
196,10800
197,10800
198,14400
199,7200
200,14400
201,10800
202,10800
203,21600
204,28800
205,0
206,18000
207,18000
208,14400
209,14400
210,21800
211,18000
212,-18000
213,-14400
214,-14400
215,-14400
216,-14400
217,-14400
218,-18000
219,-14400
220,-14400
221,-14400
222,-14400
223,36000
224,3600
225,-39600
226,-14400
227,-14400
228,-14400
229,-14400
230,-14400
231,-14400
232,-18000
